,0,1,2,3,4,5,6,7
0,Month,Weekday,Hour,Days from solstice,Temperature,Precipitation,Solar irradiance,WH supplied
90,10.0,True,17.0,78.0,18.6,0.2,161.0,36555.624459290375
91,10.0,True,18.0,78.0,19.6,0.0,190.0,35190.778197264735
92,10.0,True,19.0,78.0,22.1,0.0,385.0,37625.20023309575
93,10.0,True,20.0,78.0,22.7,0.0,333.0,50867.93354488045
94,10.0,True,21.0,78.0,22.9,0.0,202.0,37015.06922358176
95,10.0,True,22.0,78.0,22.6,0.0,184.0,17852.888090234796
96,10.0,True,23.0,78.0,22.2,0.0,180.0,14227.397334205369
97,10.0,True,0.0,77.0,21.2,0.0,105.0,8386.739951045902
98,10.0,True,1.0,77.0,19.9,0.0,47.0,3886.637956827933
99,10.0,True,2.0,77.0,18.7,0.0,5.0,6521.385670316242
100,10.0,True,3.0,77.0,18.0,0.0,0.0,6118.260314108878
101,10.0,True,4.0,77.0,17.3,0.0,0.0,393.39111061795984
102,10.0,True,5.0,77.0,16.7,0.0,0.0,0.0
103,10.0,True,6.0,77.0,16.5,0.0,0.0,0.0
104,10.0,True,7.0,77.0,16.9,0.0,0.0,0.0
105,10.0,True,8.0,77.0,16.6,0.0,0.0,0.0
106,10.0,True,9.0,77.0,16.1,0.0,0.0,0.0
107,10.0,True,10.0,77.0,16.0,0.0,0.0,0.0
108,10.0,True,11.0,77.0,15.6,0.0,0.0,0.0
109,10.0,True,12.0,77.0,15.5,0.0,0.0,0.0
110,10.0,True,13.0,77.0,15.6,0.0,0.0,0.0
111,10.0,True,14.0,77.0,15.1,0.0,0.0,0.0
112,10.0,True,15.0,77.0,16.0,0.0,37.0,0.0
113,10.0,True,16.0,77.0,18.3,0.0,150.0,1112.9609053497943
114,10.0,True,17.0,77.0,20.6,0.0,341.0,10773.985835499281
115,10.0,True,18.0,77.0,22.9,0.0,490.0,10600.007230940082
116,10.0,True,19.0,77.0,25.1,0.0,617.0,6821.220397945848
117,10.0,True,20.0,77.0,26.8,0.0,656.0,7704.470212930063
118,10.0,True,21.0,77.0,27.9,0.0,658.0,7508.913987160163
119,10.0,True,22.0,77.0,26.8,0.0,582.0,5928.9538268689785
120,10.0,True,23.0,77.0,24.6,0.0,464.0,2638.4876033057853
121,10.0,True,0.0,76.0,23.1,0.0,286.0,0.0
122,10.0,True,1.0,76.0,21.1,0.0,99.0,0.0
123,10.0,True,2.0,76.0,19.6,0.0,5.0,0.0
124,10.0,True,3.0,76.0,18.8,0.0,0.0,0.0
125,10.0,True,4.0,76.0,18.3,0.0,0.0,0.0
126,10.0,True,5.0,76.0,17.6,0.0,0.0,0.0
127,10.0,True,6.0,76.0,16.9,0.0,0.0,0.0
