,0
0,109.90056999999999
1,102.79847000000001
2,100.17648
3,99.21806000000001
4,109.29433
5,116.43874
6,178.08508999999998
7,155.97202000000001
8,128.14686
9,60.99391
10,102.74408
11,111.02208999999999
12,82.01784
13,107.52557
14,90.70657999999999
15,128.52533
16,110.24799000000002
17,128.7498
18,164.76019
19,204.88023
20,191.94581000000002
21,176.6892
22,152.65777
23,139.37949
24,123.01459
25,114.05129
26,124.3897
27,125.89719
28,132.4318
29,152.87697
30,166.54174999999998
31,165.94742000000002
32,94.05149000000002
33,70.08064
34,78.04483
35,83.27907
36,58.680009999999996
37,91.17883
38,85.09007
39,95.87914
40,106.22054
41,143.09638
42,197.83953000000002
43,217.0968
44,193.58386000000002
45,165.99909999999997
46,142.61746
47,121.66686999999999
48,118.74866
49,120.13732
50,119.23826
51,121.48103
52,122.72632999999999
53,149.63753
54,170.19025
55,156.25309
56,101.24091
57,75.49752
58,81.224
59,97.55507
60,82.60217
61,88.20372
62,92.00083000000001
63,104.88293
64,98.51705
65,135.08876
66,186.10261
67,188.2089
68,152.22342
69,134.96406
70,121.27931000000001
71,98.65671
72,97.24243
73,98.88816
74,114.68894
75,109.54329
76,123.72085
77,141.90294
78,184.42226
79,174.36963
80,107.67064
81,17.41656
82,65.12035
83,80.04327
84,52.55064
85,84.57388
86,85.78380000000001
87,108.7373
88,82.95029
89,141.18679
90,175.30753
91,182.59425
92,147.3678
93,145.27598
94,145.53606
95,121.21837000000001
96,107.90811
97,103.75023999999999
98,107.67696000000001
99,111.28539
100,116.91895000000001
101,125.22988000000001
102,145.31771
103,121.20855
104,95.63439
105,69.05236000000001
106,66.63495
107,65.63091
108,71.68954
109,76.14474
110,85.64455
111,91.43612999999999
112,118.89950999999999
113,191.08377000000002
114,166.05109
115,164.70007
116,136.26878000000002
117,137.07385
118,118.87626
119,118.87762
120,123.16454999999999
121,119.71394000000001
122,109.59305
123,105.66249
124,111.30069
125,115.47434
126,114.06925
127,104.89941
128,72.31832
129,11.135779999999999
130,8.71119
131,10.34474
132,26.375500000000002
133,55.85671
134,59.18355
135,92.49604000000001
136,115.60296
137,208.53723000000002
138,196.67673000000002
139,207.39175
140,165.15510999999998
141,139.11425
142,128.24546999999998
143,118.08887
144,112.81394999999999
145,109.2149
146,110.44507
147,118.23934
148,120.44602
149,150.0034
150,167.50621
151,154.76364999999998
152,126.64639999999999
153,72.89947
154,-0.41751999999999995
155,71.81027
156,88.57215
157,121.16201000000001
158,130.97223
159,123.98842000000002
160,153.35468
161,210.62819
162,257.22278
163,201.40814999999998
164,159.57976
165,140.02375
166,134.976
167,125.0412
168,116.28395
169,107.75063
170,109.41
171,100.33066
172,106.46880999999999
173,114.86158
174,143.51511
175,127.08615
176,89.26106
177,62.916790000000006
178,91.18697
179,103.49484
180,97.9092
181,116.45066
182,129.05033
183,133.65626
184,149.61623
185,190.68147
186,199.77
187,177.58499
188,177.59567
189,155.1536
190,132.45673
191,116.30588999999999
192,116.44798
193,113.29812000000001
194,106.31609
195,101.83467999999999
196,112.07390999999998
197,127.75258
198,175.6524
199,158.43919
200,146.58091
201,53.31464
202,15.97011
203,115.20777
204,83.61168
205,106.54678
206,66.52056999999999
207,87.64552
208,105.57314000000001
209,105.99087
210,180.71343000000002
211,153.52519999999998
212,156.69834
213,117.50842
214,110.98378000000001
215,106.38210000000001
216,93.93245
217,89.31862
218,94.15023
219,99.96878
220,137.32182
221,175.41852999999998
222,172.25675
223,156.43578
224,116.52161
225,82.94718
226,69.40981
227,73.50005999999999
228,72.57776
229,76.21317
