,_id,userInputs,userID,sessionID,stationID,spaceID,siteID,clusterID,connectionTime,disconnectTime,kWhDelivered,doneChargingTime,timezone
2388,5e16821ff9af8b3609f02fbb,"[{'userID': 2170, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 183, 'modifiedAt': 'Mon, 23 Dec 2019 17:48:20 GMT', 'paymentRequired': True, 'requestedDeparture': 'Mon, 23 Dec 2019 20:50:44 GMT', 'kWhRequested': 8.0}]",000002170,2_39_123_23_2019-12-23 17:47:43.687338,2-39-123-23,CA-313,0002,0039,"Mon, 23 Dec 2019 17:47:44 GMT","Mon, 23 Dec 2019 20:54:08 GMT",7.895,"Mon, 23 Dec 2019 20:55:06 GMT",America/Los_Angeles
2389,5e16821ff9af8b3609f02fbc,,,2_39_78_366_2019-12-23 18:26:51.912166,2-39-78-366,CA-323,0002,0039,"Mon, 23 Dec 2019 18:26:52 GMT","Tue, 24 Dec 2019 02:24:24 GMT",0.871,"Mon, 23 Dec 2019 20:56:16 GMT",America/Los_Angeles
2390,5e16821ff9af8b3609f02fbd,"[{'userID': 3853, 'milesRequested': 120, 'WhPerMile': 360, 'minutesAvailable': 508, 'modifiedAt': 'Mon, 23 Dec 2019 18:52:26 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 03:20:12 GMT', 'kWhRequested': 43.2}]",000003853,2_39_78_365_2019-12-23 18:52:12.005400,2-39-78-365,CA-321,0002,0039,"Mon, 23 Dec 2019 18:52:12 GMT","Mon, 23 Dec 2019 20:35:20 GMT",11.35,"Mon, 23 Dec 2019 20:35:18 GMT",America/Los_Angeles
2391,5e16821ff9af8b3609f02fbe,"[{'userID': 743, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 65, 'modifiedAt': 'Mon, 23 Dec 2019 19:31:44 GMT', 'paymentRequired': True, 'requestedDeparture': 'Mon, 23 Dec 2019 20:36:28 GMT', 'kWhRequested': 8.0}]",000000743,2_39_89_25_2019-12-23 19:31:28.331367,2-39-89-25,CA-315,0002,0039,"Mon, 23 Dec 2019 19:31:28 GMT","Mon, 23 Dec 2019 20:32:10 GMT",1.089,"Mon, 23 Dec 2019 20:01:09 GMT",America/Los_Angeles
2392,5e16821ff9af8b3609f02fbf,"[{'userID': 2170, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 183, 'modifiedAt': 'Mon, 23 Dec 2019 20:54:19 GMT', 'paymentRequired': True, 'requestedDeparture': 'Mon, 23 Dec 2019 23:57:11 GMT', 'kWhRequested': 8.0}]",000002170,2_39_123_23_2019-12-23 20:54:11.487889,2-39-123-23,CA-313,0002,0039,"Mon, 23 Dec 2019 20:54:11 GMT","Tue, 24 Dec 2019 00:27:27 GMT",2.895,"Mon, 23 Dec 2019 21:48:34 GMT",America/Los_Angeles
2393,5e16821ff9af8b3609f02fc0,"[{'userID': 832, 'milesRequested': 60, 'WhPerMile': 400, 'minutesAvailable': 221, 'modifiedAt': 'Mon, 23 Dec 2019 21:14:34 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 00:54:03 GMT', 'kWhRequested': 24.0}]",000000832,2_39_79_381_2019-12-23 21:13:02.808087,2-39-79-381,CA-490,0002,0039,"Mon, 23 Dec 2019 21:13:03 GMT","Tue, 24 Dec 2019 00:44:16 GMT",22.017,"Tue, 24 Dec 2019 00:44:12 GMT",America/Los_Angeles
2394,5e16821ff9af8b3609f02fc1,,,2_39_78_365_2019-12-23 21:31:12.985751,2-39-78-365,CA-321,0002,0039,"Mon, 23 Dec 2019 21:31:13 GMT","Mon, 23 Dec 2019 23:36:38 GMT",0.896,"Mon, 23 Dec 2019 22:18:00 GMT",America/Los_Angeles
2395,5e16821ff9af8b3609f02fc2,"[{'userID': 1085, 'milesRequested': 90, 'WhPerMile': 250, 'minutesAvailable': 208, 'modifiedAt': 'Tue, 24 Dec 2019 02:02:51 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 05:30:22 GMT', 'kWhRequested': 22.5}]",000001085,2_39_130_31_2019-12-24 02:02:22.058892,2-39-130-31,CA-306,0002,0039,"Tue, 24 Dec 2019 02:02:22 GMT","Tue, 24 Dec 2019 06:37:18 GMT",22.381,"Tue, 24 Dec 2019 05:46:23 GMT",America/Los_Angeles
2396,5e16821ff9af8b3609f02fc3,"[{'userID': 1099, 'milesRequested': 90, 'WhPerMile': 400, 'minutesAvailable': 138, 'modifiedAt': 'Tue, 24 Dec 2019 04:33:14 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 06:47:29 GMT', 'kWhRequested': 36.0}]",000001099,2_39_124_22_2019-12-24 04:29:28.622886,2-39-124-22,CA-312,0002,0039,"Tue, 24 Dec 2019 04:29:29 GMT","Tue, 24 Dec 2019 06:42:32 GMT",13.86,"Tue, 24 Dec 2019 06:42:28 GMT",America/Los_Angeles
2397,5e17d39ef9af8b3a57ba0fb7,"[{'userID': 1524, 'milesRequested': 30, 'WhPerMile': 400, 'minutesAvailable': 129, 'modifiedAt': 'Tue, 24 Dec 2019 15:24:17 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 17:32:43 GMT', 'kWhRequested': 12.0}]",000001524,2_39_78_364_2019-12-24 15:23:42.859985,2-39-78-364,CA-495,0002,0039,"Tue, 24 Dec 2019 15:23:43 GMT","Tue, 24 Dec 2019 20:00:48 GMT",9.797,"Tue, 24 Dec 2019 18:14:39 GMT",America/Los_Angeles
2398,5e17d39ef9af8b3a57ba0fb8,"[{'userID': 3389, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 265, 'modifiedAt': 'Tue, 24 Dec 2019 16:10:10 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 20:34:10 GMT', 'kWhRequested': 8.0}]",000003389,2_39_79_380_2019-12-24 16:09:10.387855,2-39-79-380,CA-489,0002,0039,"Tue, 24 Dec 2019 16:09:10 GMT","Tue, 24 Dec 2019 19:15:54 GMT",2.085,"Tue, 24 Dec 2019 16:58:02 GMT",America/Los_Angeles
