,0,1
116,2019-10-02T12:00:00-00:00,32.54666
117,2019-10-02T12:15:00-00:00,34.98079
118,2019-10-02T12:30:00-00:00,38.83754
119,2019-10-02T12:45:00-00:00,46.51198
120,2019-10-02T13:00:00-00:00,36.84998
121,2019-10-02T13:15:00-00:00,41.33947
122,2019-10-02T13:30:00-00:00,41.66798
123,2019-10-02T13:45:00-00:00,46.68432
124,2019-10-02T14:00:00-00:00,54.99152
125,2019-10-02T14:15:00-00:00,42.8545
126,2019-10-02T14:30:00-00:00,37.15879
127,2019-10-02T14:45:00-00:00,30.94261
128,2019-10-02T15:00:00-00:00,31.80014
129,2019-10-02T15:15:00-00:00,26.08888
130,2019-10-02T15:30:00-00:00,20.86101
131,2019-10-02T15:45:00-00:00,15.30146
132,2019-10-02T16:00:00-00:00,15.75554
133,2019-10-02T16:15:00-00:00,20.67068
134,2019-10-02T16:30:00-00:00,16.50242
135,2019-10-02T16:45:00-00:00,17.152
136,2019-10-02T17:00:00-00:00,16.21835
137,2019-10-02T17:15:00-00:00,22.02329
138,2019-10-02T17:30:00-00:00,21.16525
139,2019-10-02T17:45:00-00:00,18.63794
140,2019-10-02T18:00:00-00:00,24.60369
141,2019-10-02T18:15:00-00:00,23.13938
142,2019-10-02T18:30:00-00:00,20.81813
143,2019-10-02T18:45:00-00:00,14.71787
144,2019-10-02T19:00:00-00:00,14.07394
145,2019-10-02T19:15:00-00:00,14.33314
146,2019-10-02T19:30:00-00:00,15.53104
147,2019-10-02T19:45:00-00:00,14.74189
148,2019-10-02T20:00:00-00:00,21.60232
149,2019-10-02T20:15:00-00:00,22.84392
150,2019-10-02T20:30:00-00:00,23.2746
151,2019-10-02T20:45:00-00:00,23.45799
152,2019-10-02T21:00:00-00:00,19.9404
153,2019-10-02T21:15:00-00:00,20.5886
154,2019-10-02T21:30:00-00:00,21.28575
155,2019-10-02T21:45:00-00:00,23.27532
156,2019-10-02T22:00:00-00:00,21.233
157,2019-10-02T22:15:00-00:00,23.42684
158,2019-10-02T22:30:00-00:00,25.28731
159,2019-10-02T22:45:00-00:00,25.93199
160,2019-10-02T23:00:00-00:00,23.24751
161,2019-10-02T23:15:00-00:00,23.24751
162,2019-10-02T23:30:00-00:00,26.78126
163,2019-10-02T23:45:00-00:00,32.94426
164,2019-10-03T00:00:00-00:00,22.00476
165,2019-10-03T00:15:00-00:00,27.4102
166,2019-10-03T00:30:00-00:00,41.66831
167,2019-10-03T00:45:00-00:00,52.01311
168,2019-10-03T01:00:00-00:00,36.91787
169,2019-10-03T01:15:00-00:00,44.33814
170,2019-10-03T01:30:00-00:00,60.91334
171,2019-10-03T01:45:00-00:00,55.67018
