,0
0,0.3441201663709778
1,0.25573317202352724
2,0.2406621435606177
3,0.23222739827595598
4,0.20871926866417878
5,0.14989648156208357
6,0.08096930535417017
7,0.061084217931322245
8,0.05814860885645089
9,0.05381438378502103
10,0.043138886380169425
11,0.03582749279769803
12,0.029713111983067246
13,0.029434324350127872
14,0.03141260979563927
15,0.12908274567869019
16,0.4912771888358866
17,1.0808318186265238
18,1.3709416507557588
19,1.1603427337384522
20,0.8604428396964036
21,0.7334385526858147
22,0.6119055853177492
23,0.4767484274469037
