,0
0,154.34501144281495
1,141.54430503112098
2,132.62048904422267
3,131.19860398394582
4,130.72679661764295
5,130.34521596113672
6,129.95118935958763
7,129.8387362852232
8,129.5831625129827
9,129.25602839180414
10,128.71421322381144
11,128.31551875369485
12,128.2385340689528
13,128.07483283755545
14,128.45236664768814
15,135.37962939175168
16,148.2002848156306
17,168.75546774262784
18,183.74026910727355
19,186.2134281822205
20,192.21763580092778
21,185.32134705719892
22,171.19673705733035
23,155.5101821536653
24,146.66171761136857
25,139.02533217700315
26,133.50339568892377
27,132.35633695091906
28,131.75230228453472
29,131.31471743204122
30,130.90824488544922
31,130.45821408791284
32,130.20264031567234
33,130.0544070668389
34,129.94195399247445
35,129.68638022023396
36,129.60496557350763
37,129.7645286544027
38,130.22714631819537
39,134.85333245721364
40,142.771232826248
41,153.44515305482525
42,165.03965152766918
43,156.29834636228654
44,157.47189308871532
45,150.08466876279215
46,154.55616685374937
47,151.96966991281727
48,148.62710929885867
49,138.28158086547023
50,131.09090233639466
51,130.1063038354127
52,129.70265058065536
53,129.51611323661655
54,130.01137858922516
55,129.28868316715133
56,129.1762300927869
57,129.06377701842248
58,128.91554376958905
59,128.73153034628658
60,128.72833110427624
61,128.7257696319149
62,129.4157868674451
63,132.01364943638805
64,134.94604362892318
65,138.65697178792578
66,149.27450069182768
67,146.8003308744022
68,161.88004769674978
69,157.49136650105547
70,162.77250910230242
71,142.6012827854427
72,142.47313482341696
73,135.33658763854027
74,131.02740788409687
75,130.23243582975246
76,129.90374916132566
77,129.46999658375918
78,129.19767003141786
79,133.8230453499846
80,128.86542335928195
81,128.64562976151046
82,128.35427581480093
83,128.2418227404365
84,128.3154834688852
85,128.46358971845916
86,129.55694316080613
87,132.6667909168024
88,137.73537055970098
89,148.6042346251219
90,150.6588160471606
91,166.64616834221496
92,161.2756470168658
93,149.4081000851803
94,146.64303341916488
95,145.41859965660575
96,141.42150264848246
97,135.38498325135154
98,130.9746379634537
99,130.00706884983526
100,129.47741203974675
101,129.08675696068593
102,128.8868632979129
103,128.91753092142457
104,128.6977373236531
105,128.40638337694355
106,128.2581501281101
107,128.03860480325906
108,127.9984568965941
109,128.17398312842514
110,128.63922657689494
111,133.18737112811982
112,145.05845790867113
113,162.4808274299737
114,176.4548973601797
115,186.6001383049367
116,189.88419281200396
117,187.95178955873047
118,180.7508739425295
119,169.5210888453945
120,156.87971115208586
121,140.24301059955064
122,131.54123805187655
123,130.55703846432712
124,130.04149290156255
125,129.64868639044096
126,129.26335293318786
127,129.0718664560169
128,128.8879096649573
129,128.63227926047392
130,128.4840460116405
131,128.58638724857593
132,128.3307002118497
133,128.79180594160408
134,128.6797492929397
135,131.90894382067972
136,141.46659642075525
137,160.2590368066667
138,161.77761845420733
139,169.2890086988197
140,167.7709741185741
141,170.82587220157026
142,163.98605511773457
143,151.85352448256955
144,142.41155092877216
145,137.45520556242943
146,131.36658020766532
147,130.5968853415879
148,129.96581978335394
149,130.1004792958946
150,130.17160215944023
151,129.9437848617257
152,129.72399126395422
153,129.25274675403156
154,129.0687333307291
155,129.17057105825288
156,129.45298931688677
157,128.2232522631288
158,128.7431128749584
