,0
0,132.3784066796834
1,130.7720503482633
2,123.52990557255907
3,116.3903072254252
4,153.428073223331
5,114.90979809651617
6,143.36657028066838
7,140.22736433683895
8,134.60714318331884
9,127.92397357356822
10,120.62916313668393
11,113.80678348449146
12,104.48767101333215
13,97.78825494794
14,91.62391612398642
15,150.13988848331064
16,162.07242761446832
17,176.14903680685586
18,174.89320153270455
19,174.30062025944017
20,175.17726222933834
21,160.7390083099417
22,153.38928177846674
23,138.35139171468268
24,129.06880520989944
25,120.83417588250813
26,122.43551971478155
27,115.16759880353493
28,146.96726401995693
29,110.95082250780251
30,120.36384125174663
31,141.76944886001002
32,136.20086156122125
33,129.83075743019435
34,123.3832884576259
35,117.043429059544
36,128.35986445426533
37,101.9582486799336
38,100.45915536677421
39,148.55336443210035
40,160.97059612062367
41,164.22050118435254
42,167.56129341744236
43,156.08983412944872
44,154.16331203831123
45,141.0959070918875
46,143.70234910886415
47,137.85240726973416
48,131.31689016262953
49,128.08726367918462
50,117.50504120556434
51,113.27356519080058
52,151.83853014954366
53,124.65834934826125
54,145.66618991873838
55,140.4292611921337
56,135.02233380248072
57,128.69552088742057
58,122.16138276242418
59,115.82908488294197
60,125.85722793392051
61,100.4508230651918
62,99.34383148659253
63,136.1846596885107
64,143.49548323048657
65,141.24063882419614
66,156.80583425849545
67,154.38296286432524
68,160.12524238930246
69,148.46442247338382
70,149.68810938608476
71,134.87789845381758
72,129.08991616204003
73,119.1564411146428
74,113.92389224971703
75,114.0629261033173
76,138.80332340941095
77,115.23431841697311
78,143.50532206721982
79,155.92964079753438
80,134.64761011650262
81,127.99719120108784
82,120.98358747062593
83,114.82855166154332
84,108.42843783881835
85,99.60928144160425
86,99.28408269115243
87,142.70549559731353
88,147.78676321012335
89,162.24043284413528
90,156.7805530837013
91,168.12210429524112
92,160.36487711980817
93,143.37483551723835
94,137.3347037777021
95,135.36464068981513
96,127.47309173219764
97,118.85783228674336
98,123.83843253987652
99,114.17052428761235
100,152.68444085850206
101,116.3636039315752
102,142.8947950033471
103,140.23262873075873
104,134.4699319501524
105,127.5233798357367
106,120.94795095577865
107,93.25665627286071
108,115.30653333184455
109,99.39815196239942
110,97.73153205587369
111,145.68597380343817
112,165.08387544474772
113,174.57636063966584
114,176.67059225720823
115,179.55511814985016
116,178.70365872467823
117,169.39506567607168
118,159.18348460148718
119,153.9194743854082
120,139.9656901085218
121,133.69815106737224
122,125.49646875631151
123,115.88159705386352
124,145.48507575484837
125,115.0359004981583
126,152.09806157600542
127,141.06770750750002
128,114.00920035372837
129,128.59429752635333
130,122.01886951064807
131,132.20726571462728
132,110.42000324522814
133,98.58334830890453
134,95.32516205378488
135,138.28284326346966
136,160.92684547681165
137,171.8974304295425
138,167.94292122136176
139,170.30883927419563
140,165.94689326466505
141,160.55155664509766
142,156.57754332112881
143,141.69212140335947
144,131.03678612163276
145,126.30042021104782
146,123.14492149363286
147,119.0603848712417
148,155.07621702822507
149,126.78141192458133
150,152.76452230844734
151,144.32509436317196
152,138.55435592350113
153,126.86917340439686
154,120.1697931630988
155,133.81319734524004
156,135.24744368814572
157,100.05857150808151
158,95.51997108647265
159,151.80782539677784
160,165.91122827910522
161,178.97403200818098
162,180.4391938638273
163,188.76571876870048
164,175.96085119151076
165,174.83897608866664
166,167.85085096225066
167,149.23758748465866
168,135.29342975127747
169,135.67542246909397
170,124.56976133982607
171,119.49613906235754
172,144.5913997216485
173,120.75955437423545
174,145.61428157702176
175,144.40221357888367
176,136.1444896782632
177,109.8631489945692
178,121.78842528769746
179,96.36282157558162
180,105.18335098478565
181,97.68931697124935
182,100.27656735403616
183,147.9301150452643
184,168.46053179103865
185,177.16758339397893
186,179.71726528974796
187,182.83996529928118
188,187.73709672254427
189,167.7700097655361
190,161.59527447448363
191,153.88476711849444
192,140.07575934091847
193,138.3110376910663
194,121.74758069582458
195,121.21992036110169
196,147.22668020717538
197,117.29593840766029
198,148.31107751167292
199,143.42113367250568
200,137.35444077280408
201,130.4759745358533
