,0
0,153.3993061138161
1,163.5394602061211
2,170.70865019007476
3,175.25795574465923
4,181.0290261073445
5,176.71695922310158
6,171.98389270880426
7,173.6174210824587
8,173.7215629310789
9,173.05719145335678
10,170.15200308913313
11,168.73897223605962
12,172.8687668877256
13,172.19638401243094
14,175.2907913582205
15,179.01597933842092
16,177.01644948983622
17,175.37251032891945
18,184.6841789882339
19,198.02376010488186
20,222.12396429643437
21,214.05059162468146
22,203.26283604315535
23,212.88206639054314
24,168.450321092009
25,176.62990961403347
26,178.81878364634332
27,180.88672856654617
28,189.62128096483195
29,184.22938730190958
30,181.78819715178952
31,178.34476798940804
32,178.4188244168617
33,179.8286885377211
34,181.6834896828813
35,182.06459430773464
36,192.17989253991715
37,184.97702866173876
38,187.05564267626247
39,186.0428309089924
40,183.27940960713732
41,177.1430753005391
42,173.52642819079537
43,183.89855035940298
44,178.56550295131655
45,186.20622693746384
46,189.3050747668981
47,193.30321978653348
48,146.49014302395818
49,154.71941788005233
50,156.7163506187539
51,157.48285531738594
52,165.80449419013377
53,163.66754968473924
54,160.73931269946706
55,162.49139022050042
56,164.06658285672293
57,165.64177549294547
58,166.82391088518452
59,167.62861564253473
60,179.44140679230648
61,174.2302479953217
62,176.2094579097727
63,177.94017468397897
64,181.9283926064303
65,181.28406740017954
66,175.00163577152432
67,179.44428530892625
68,168.12760868230765
69,174.2464992983808
70,178.69939832016289
71,187.57689253662008
72,140.8164995771005
73,150.56996598996292
74,154.44202115584815
75,155.89999581396705
76,159.39382684459773
77,158.0179796632462
78,156.1210105161901
79,158.03529099374964
80,158.163405047372
81,158.61431493129663
82,158.3144034129534
83,159.8593138578
84,166.5109292855442
85,166.77423457103117
86,169.6323607899899
87,170.6639306940478
88,170.90181750056044
89,163.5744141899173
90,166.2256629308727
91,164.48125167483457
92,167.51980665305118
93,178.9554466683961
94,182.9707391627922
95,186.40138177000867
96,143.26085379384065
97,149.17952174481687
98,149.2949196197378
99,151.620810432024
100,158.11204899552126
101,151.26406769672315
102,150.21807801347518
103,153.2703463314126
104,153.73364847286297
105,153.43734774056725
106,154.61530530648633
107,159.4371830390597
108,163.2655818779278
109,162.57416457395362
110,163.55900648758598
111,163.8495724134516
112,159.20497978574298
113,156.99983113973326
114,165.90705076941555
115,183.846242443615
116,197.62774349856053
117,211.1997669336114
118,198.7751326800855
119,184.42266163033716
120,139.68703507841963
121,145.79971296852162
122,151.5955804870457
123,153.29849917674875
124,160.79799103637498
125,155.9784176463686
126,152.21301782611644
127,152.1684617342022
128,157.18256307158885
129,153.06784605953624
130,154.24355756208178
131,166.79923588466758
